Pincode,Zone,City,State,COD,PrePaid
571247,South-2,MADIKERI,KARNATAKA,TRUE,TRUE
275306,North,MAU,UTTAR PRADESH,TRUE,TRUE
276405,North,MAU,UTTAR PRADESH,TRUE,TRUE
686602,South-2,KOTTAYAM,KERALA,TRUE,TRUE
686601,South-2,KOTTAYAM,KERALA,TRUE,TRUE
246446,North,KARNAPRAYAG,UTTAR PRADESH,TRUE,TRUE
246474,North,KARNAPRAYAG,UTTAR PRADESH,TRUE,TRUE
246487,North,KARNAPRAYAG,UTTAR PRADESH,TRUE,TRUE
641021,South-2,MALUMICHAMPATTI,TAMIL NADU,TRUE,TRUE
641008,South-2,MALUMICHAMPATTI,TAMIL NADU,TRUE,TRUE
410101,West,KARJAT,MAHARASHTRA,TRUE,TRUE
754217,East,RAJNAGAR OR,ORISSA,TRUE,TRUE
483331,Central,BAHORIBAND,MADHYA PRADESH,TRUE,TRUE
695555,South-2,TRIVANDRUM,KERALA,TRUE,TRUE
191101,North,SRINAGAR,JAMMU AND KASHMIR,TRUE,TRUE
821108,East,KUDRA,BIHAR,TRUE,TRUE
821104,East,KUDRA,BIHAR,TRUE,TRUE
500067,South-1,HYDERABAD,TELANGANA,TRUE,TRUE
500010,South-1,HYDERABAD,TELANGANA,TRUE,TRUE
673693,South-2,BATHERY,KERALA,TRUE,TRUE
822118,East,LESHLIGANJ,JHARKHAND,TRUE,TRUE
581319,South-2,GOKARNA,KARNATAKA,TRUE,TRUE
518463,South-1,KODUMURU,ANDHRA PRADESH,TRUE,TRUE
210305,North,DELHI NCR,DELHI,TRUE,TRUE
210310,North,DELHI NCR,DELHI,TRUE,TRUE
673308,South-2,KOZHIKODE,KERALA,TRUE,TRUE
671320,South-1,BODHAN,TELANGANA,TRUE,TRUE
522508,South-1,TADIKONDA,ANDHRA PRADESH,TRUE,TRUE
503207,South-1,BODHAN,TELANGANA,TRUE,TRUE
503206,South-1,BODHAN,TELANGANA,TRUE,TRUE
503201,South-1,BODHAN,TELANGANA,TRUE,TRUE
852125,East,SUPAUL,BIHAR,TRUE,TRUE
852109,East,SUPAUL,BIHAR,TRUE,TRUE
852111,East,SUPAUL,BIHAR,TRUE,TRUE
585211,South-2,SEDAM,KARNATAKA,TRUE,TRUE
737128,East,MELLI,SIKKIM,TRUE,TRUE
685612,South-2,KATTAPANA,KERALA,TRUE,TRUE
415519,West,SATARA,MAHARASHTRA,TRUE,TRUE
415518,West,SATARA,MAHARASHTRA,TRUE,TRUE
415019,West,SATARA,MAHARASHTRA,TRUE,TRUE
508113,South-1,CHOUTUPPAL,TELANGANA,TRUE,TRUE
444307,Central,CHIKHLI,MAHARASHTRA,TRUE,TRUE
444301,Central,CHIKHLI,MAHARASHTRA,TRUE,TRUE
508233,South-1,Kodad,TELANGANA,TRUE,TRUE
141000,North,LUDHIANA,PUNJAB,TRUE,TRUE
141001,North,LUDHIANA,PUNJAB,TRUE,TRUE
141003,North,LUDHIANA,PUNJAB,TRUE,TRUE
141004,North,LUDHIANA,PUNJAB,TRUE,TRUE
141005,North,LUDHIANA,PUNJAB,TRUE,TRUE
141006,North,LUDHIANA,PUNJAB,TRUE,TRUE
141002,North,LUDHIANA,PUNJAB,TRUE,TRUE
141007,North,LUDHIANA,PUNJAB,TRUE,TRUE
141008,North,LUDHIANA,PUNJAB,TRUE,TRUE
141009,North,LUDHIANA,PUNJAB,TRUE,TRUE
141010,North,LUDHIANA,PUNJAB,TRUE,TRUE
141011,North,LUDHIANA,PUNJAB,TRUE,TRUE
141016,North,LUDHIANA,PUNJAB,TRUE,TRUE
141017,North,LUDHIANA,PUNJAB,TRUE,TRUE
141021,North,LUDHIANA,PUNJAB,TRUE,TRUE
141022,North,LUDHIANA,PUNJAB,TRUE,TRUE
141027,North,LUDHIANA,PUNJAB,TRUE,TRUE
141116,North,LUDHIANA,PUNJAB,TRUE,TRUE
141122,North,LUDHIANA,PUNJAB,TRUE,TRUE
142013,North,LUDHIANA,PUNJAB,TRUE,TRUE
142021,North,LUDHIANA,PUNJAB,TRUE,TRUE
142022,North,LUDHIANA,PUNJAB,TRUE,TRUE
142027,North,LUDHIANA,PUNJAB,TRUE,TRUE
141012,North,LUDHIANA,PUNJAB,TRUE,TRUE
141013,North,LUDHIANA,PUNJAB,TRUE,TRUE
141014,North,LUDHIANA,PUNJAB,TRUE,TRUE
141015,North,LUDHIANA,PUNJAB,TRUE,TRUE
508223,South-1,SURYAPET,TELANGANA,TRUE,TRUE
683547,South-2,PERUMBAVOOR,KERALA,TRUE,TRUE
683544,South-2,PERUMBAVOOR,KERALA,TRUE,TRUE
683542,South-2,PERUMBAVOOR,KERALA,TRUE,TRUE
683541,South-2,PERUMBAVOOR,KERALA,TRUE,TRUE
683543,South-2,PERUMBAVOOR,KERALA,TRUE,TRUE
560024,South-2,BANGALORE,KARNATAKA,TRUE,TRUE
560032,South-2,BANGALORE,KARNATAKA,TRUE,TRUE
621117,South-2,KALLAKURUCHI,TAMIL NADU,TRUE,TRUE
606201,South-2,KALLAKURUCHI,TAMIL NADU,TRUE,TRUE
606204,South-2,KALLAKURUCHI,TAMIL NADU,TRUE,TRUE
533252,South-1,LAKKAVARM,ANDHRA PRADESH,TRUE,TRUE
533251,South-1,LAKKAVARM,ANDHRA PRADESH,TRUE,TRUE
305203,North,MANGLIYAWAS,RAJASTHAN,TRUE,TRUE
835211,East,KOLEBIRA,JHARKHAND,TRUE,TRUE
333308,North,UDAIPURWATI,RAJASTHAN,TRUE,TRUE
332604,North,KHANDELA,RAJASTHAN,TRUE,TRUE
332742,North,DANTARAMGARH,RAJASTHAN,TRUE,TRUE
305026,North,PUSHKAR,RAJASTHAN,TRUE,TRUE
700019,East,KOLKATA,WEST BENGAL,TRUE,TRUE
700020,East,KOLKATA,WEST BENGAL,TRUE,TRUE
700075,East,KOLKATA,WEST BENGAL,TRUE,TRUE
700078,East,KOLKATA,WEST BENGAL,TRUE,TRUE
670303,South-2,KANNUR,KERALA,TRUE,TRUE
455118,Central,DEWAS,MADHYA PRADESH,TRUE,TRUE
131101,North,GANNAUR,HARYANA,TRUE,TRUE
